,CluStream,DenStream,BIRCH,StreamKM,GT
54,0.0,0.0,0.0,0.0,36.0
55,1.0,1.0,2.0,3.0,38.0
56,0.0,0.0,0.0,2.0,7.0
57,0.0,0.0,0.0,0.0,40.0
58,0.0,0.0,0.0,2.0,41.0
59,2.0,1.0,2.0,3.0,42.0
60,3.0,2.0,1.0,1.0,43.0
61,0.0,0.0,0.0,0.0,33.0
62,0.0,0.0,0.0,2.0,39.0
63,0.0,0.0,0.0,2.0,32.0
64,2.0,1.0,0.0,0.0,1.0
65,0.0,0.0,0.0,2.0,30.0
66,0.0,0.0,0.0,2.0,29.0
67,0.0,0.0,0.0,2.0,28.0
68,2.0,1.0,2.0,3.0,27.0
69,0.0,0.0,0.0,2.0,26.0
70,0.0,0.0,0.0,0.0,25.0
71,2.0,1.0,0.0,0.0,24.0
72,2.0,1.0,2.0,0.0,3.0
73,0.0,0.0,0.0,0.0,2.0
74,0.0,0.0,0.0,2.0,44.0
75,0.0,0.0,0.0,2.0,0.0
76,2.0,1.0,2.0,3.0,31.0
77,2.0,1.0,0.0,0.0,45.0
78,0.0,0.0,0.0,2.0,46.0
79,0.0,0.0,0.0,0.0,47.0
80,0.0,0.0,0.0,0.0,5.0
81,0.0,0.0,0.0,0.0,48.0
82,0.0,0.0,0.0,0.0,23.0
83,2.0,1.0,2.0,3.0,22.0
84,0.0,0.0,0.0,2.0,21.0
85,0.0,0.0,0.0,0.0,20.0
86,0.0,0.0,0.0,0.0,19.0
87,2.0,1.0,0.0,0.0,18.0
88,3.0,2.0,1.0,1.0,4.0
89,0.0,0.0,0.0,0.0,6.0
90,2.0,1.0,0.0,0.0,17.0
91,2.0,1.0,2.0,3.0,15.0
92,2.0,1.0,2.0,3.0,14.0
93,0.0,0.0,0.0,2.0,13.0
94,0.0,0.0,0.0,2.0,12.0
95,0.0,0.0,0.0,2.0,11.0
96,2.0,1.0,2.0,3.0,10.0
97,3.0,2.0,1.0,1.0,9.0
98,0.0,0.0,0.0,2.0,8.0
99,0.0,0.0,0.0,2.0,50.0
100,0.0,0.0,0.0,2.0,49.0
101,0.0,0.0,0.0,0.0,16.0
102,0.0,0.0,0.0,0.0,48.0
103,0.0,0.0,0.0,2.0,50.0
104,0.0,0.0,0.0,2.0,49.0
105,0.0,0.0,0.0,2.0,44.0
106,2.0,1.0,0.0,0.0,45.0
107,2.0,1.0,2.0,0.0,3.0
108,2.0,1.0,0.0,0.0,24.0
109,0.0,0.0,0.0,0.0,25.0
110,0.0,0.0,0.0,2.0,26.0
111,2.0,1.0,2.0,3.0,27.0
112,0.0,0.0,0.0,2.0,28.0
113,0.0,0.0,0.0,2.0,29.0
114,0.0,0.0,0.0,2.0,30.0
115,2.0,1.0,2.0,3.0,31.0
116,0.0,0.0,0.0,0.0,47.0
117,0.0,0.0,0.0,2.0,32.0
118,1.0,1.0,2.0,3.0,35.0
119,0.0,0.0,0.0,0.0,36.0
120,0.0,0.0,0.0,0.0,37.0
121,1.0,1.0,2.0,3.0,38.0
122,0.0,0.0,0.0,2.0,39.0
123,0.0,0.0,0.0,0.0,40.0
124,0.0,0.0,0.0,2.0,41.0
125,2.0,1.0,2.0,3.0,42.0
126,3.0,2.0,1.0,1.0,43.0
127,1.0,2.0,1.0,1.0,34.0
128,0.0,0.0,0.0,0.0,33.0
129,0.0,0.0,0.0,2.0,46.0
130,2.0,1.0,0.0,0.0,18.0
131,0.0,0.0,0.0,0.0,5.0
132,0.0,0.0,0.0,0.0,6.0
133,0.0,0.0,0.0,2.0,7.0
134,0.0,0.0,0.0,2.0,8.0
135,3.0,2.0,1.0,1.0,9.0
136,0.0,0.0,0.0,0.0,23.0
137,2.0,1.0,2.0,3.0,22.0
138,3.0,2.0,1.0,1.0,4.0
139,0.0,0.0,0.0,2.0,21.0
140,0.0,0.0,0.0,0.0,19.0
141,2.0,1.0,2.0,3.0,10.0
142,2.0,1.0,0.0,0.0,17.0
143,0.0,0.0,0.0,0.0,16.0
144,2.0,1.0,2.0,3.0,15.0
145,2.0,1.0,2.0,3.0,14.0
146,0.0,0.0,0.0,2.0,13.0
147,0.0,0.0,0.0,0.0,20.0
148,0.0,0.0,0.0,2.0,12.0
149,0.0,0.0,0.0,2.0,11.0
150,0.0,0.0,0.0,2.0,0.0
151,2.0,1.0,0.0,0.0,1.0
152,0.0,0.0,0.0,0.0,2.0
153,2.0,1.0,2.0,0.0,3.0
154,0.0,0.0,0.0,0.0,40.0
155,0.0,0.0,0.0,2.0,39.0
156,1.0,1.0,2.0,3.0,38.0
157,0.0,0.0,0.0,0.0,37.0
158,0.0,0.0,0.0,0.0,36.0
159,1.0,1.0,2.0,3.0,35.0
160,1.0,2.0,1.0,1.0,34.0
161,0.0,0.0,0.0,0.0,33.0
162,0.0,0.0,0.0,2.0,32.0
163,2.0,1.0,2.0,3.0,31.0
164,0.0,0.0,0.0,2.0,30.0
165,0.0,0.0,0.0,2.0,29.0
166,0.0,0.0,0.0,2.0,28.0
167,0.0,0.0,0.0,2.0,26.0
168,0.0,0.0,0.0,0.0,25.0
169,2.0,1.0,0.0,0.0,24.0
170,2.0,1.0,2.0,3.0,27.0
171,0.0,0.0,0.0,2.0,0.0
172,0.0,0.0,0.0,0.0,23.0
173,2.0,1.0,2.0,3.0,22.0
174,0.0,0.0,0.0,2.0,21.0
175,0.0,0.0,0.0,0.0,20.0
176,0.0,0.0,0.0,0.0,19.0
177,2.0,1.0,0.0,0.0,18.0
178,2.0,1.0,0.0,0.0,17.0
179,0.0,0.0,0.0,0.0,16.0
180,2.0,1.0,2.0,3.0,15.0
181,2.0,1.0,2.0,3.0,14.0
182,0.0,0.0,0.0,2.0,41.0
183,0.0,0.0,0.0,2.0,13.0
184,0.0,0.0,0.0,2.0,11.0
185,2.0,1.0,2.0,3.0,10.0
186,3.0,2.0,1.0,1.0,9.0
187,0.0,0.0,0.0,2.0,8.0
188,0.0,0.0,0.0,2.0,7.0
189,0.0,0.0,0.0,0.0,6.0
190,0.0,0.0,0.0,0.0,5.0
191,3.0,2.0,1.0,1.0,4.0
192,0.0,0.0,0.0,0.0,2.0
193,2.0,1.0,0.0,0.0,1.0
194,0.0,0.0,0.0,2.0,12.0
195,3.0,2.0,1.0,1.0,43.0
196,2.0,1.0,2.0,3.0,42.0
197,2.0,1.0,0.0,0.0,45.0
198,0.0,0.0,0.0,2.0,46.0
199,0.0,0.0,0.0,0.0,47.0
200,0.0,0.0,0.0,2.0,49.0
201,0.0,0.0,0.0,2.0,50.0
202,0.0,0.0,0.0,2.0,44.0
203,0.0,0.0,0.0,0.0,48.0
204,2.0,1.0,2.0,3.0,15.0
205,2.0,1.0,2.0,3.0,14.0
206,0.0,0.0,0.0,2.0,13.0
207,0.0,0.0,0.0,2.0,12.0
208,2.0,1.0,2.0,3.0,10.0
209,0.0,0.0,0.0,0.0,16.0
210,3.0,2.0,1.0,1.0,9.0
211,0.0,0.0,0.0,2.0,50.0
212,0.0,0.0,0.0,2.0,11.0
213,2.0,1.0,0.0,0.0,17.0
214,0.0,0.0,0.0,0.0,20.0
215,0.0,0.0,0.0,0.0,19.0
216,0.0,0.0,0.0,2.0,49.0
217,0.0,0.0,0.0,2.0,21.0
218,2.0,1.0,2.0,3.0,22.0
219,0.0,0.0,0.0,0.0,23.0
220,0.0,0.0,0.0,0.0,48.0
221,0.0,0.0,0.0,2.0,0.0
222,2.0,1.0,0.0,0.0,1.0
223,0.0,0.0,0.0,0.0,2.0
224,3.0,2.0,1.0,1.0,4.0
225,2.0,1.0,0.0,0.0,18.0
226,0.0,0.0,0.0,0.0,47.0
227,0.0,0.0,0.0,2.0,8.0
228,2.0,1.0,0.0,0.0,45.0
229,0.0,0.0,0.0,0.0,5.0
230,2.0,1.0,2.0,0.0,3.0
231,2.0,1.0,0.0,0.0,24.0
232,0.0,0.0,0.0,0.0,25.0
233,0.0,0.0,0.0,2.0,26.0
234,2.0,1.0,2.0,3.0,27.0
235,0.0,0.0,0.0,2.0,46.0
236,0.0,0.0,0.0,2.0,28.0
237,0.0,0.0,0.0,2.0,29.0
238,0.0,0.0,0.0,2.0,30.0
239,2.0,1.0,2.0,3.0,31.0
240,0.0,0.0,0.0,2.0,32.0
241,0.0,0.0,0.0,0.0,6.0
242,0.0,0.0,0.0,0.0,33.0
243,1.0,2.0,1.0,1.0,34.0
244,1.0,1.0,2.0,3.0,35.0
245,0.0,0.0,0.0,0.0,36.0
246,0.0,0.0,0.0,0.0,37.0
247,1.0,1.0,2.0,3.0,38.0
248,0.0,0.0,0.0,2.0,44.0
249,3.0,2.0,1.0,1.0,43.0
250,2.0,1.0,2.0,3.0,42.0
251,0.0,0.0,0.0,2.0,41.0
252,0.0,0.0,0.0,0.0,40.0
253,0.0,0.0,0.0,2.0,7.0
254,0.0,0.0,0.0,2.0,39.0
255,0.0,0.0,0.0,2.0,12.0
256,0.0,0.0,0.0,2.0,11.0
257,0.0,0.0,0.0,2.0,8.0
258,3.0,2.0,1.0,1.0,9.0
259,0.0,0.0,0.0,2.0,7.0
260,0.0,0.0,0.0,0.0,6.0
261,0.0,0.0,0.0,0.0,5.0
262,3.0,2.0,1.0,1.0,4.0
263,0.0,0.0,0.0,0.0,2.0
264,2.0,1.0,0.0,0.0,1.0
265,2.0,1.0,2.0,3.0,10.0
266,0.0,0.0,0.0,2.0,0.0
267,0.0,0.0,0.0,0.0,16.0
268,2.0,1.0,2.0,0.0,3.0
269,0.0,0.0,0.0,0.0,48.0
270,0.0,0.0,0.0,2.0,50.0
271,0.0,0.0,0.0,2.0,49.0
272,0.0,0.0,0.0,0.0,47.0
273,0.0,0.0,0.0,2.0,46.0
274,2.0,1.0,0.0,0.0,45.0
275,0.0,0.0,0.0,2.0,44.0
276,3.0,2.0,1.0,1.0,43.0
277,2.0,1.0,2.0,3.0,42.0
278,0.0,0.0,0.0,2.0,41.0
279,0.0,0.0,0.0,0.0,40.0
280,0.0,0.0,0.0,2.0,39.0
281,1.0,1.0,2.0,3.0,38.0
282,0.0,0.0,0.0,0.0,37.0
283,0.0,0.0,0.0,0.0,36.0
284,1.0,1.0,2.0,3.0,35.0
285,1.0,2.0,1.0,1.0,34.0
286,0.0,0.0,0.0,0.0,33.0
287,0.0,0.0,0.0,2.0,32.0
288,2.0,1.0,2.0,3.0,31.0
289,2.0,1.0,2.0,3.0,15.0
290,0.0,0.0,0.0,2.0,29.0
291,0.0,0.0,0.0,2.0,28.0
292,2.0,1.0,2.0,3.0,27.0
293,0.0,0.0,0.0,2.0,26.0
294,0.0,0.0,0.0,0.0,25.0
295,2.0,1.0,0.0,0.0,24.0
296,0.0,0.0,0.0,2.0,13.0
297,2.0,1.0,2.0,3.0,14.0
298,0.0,0.0,0.0,2.0,30.0
299,0.0,0.0,0.0,0.0,20.0
300,0.0,0.0,0.0,0.0,23.0
301,2.0,1.0,0.0,0.0,17.0
302,2.0,1.0,0.0,0.0,18.0
303,0.0,0.0,0.0,0.0,19.0
304,0.0,0.0,0.0,2.0,21.0
305,2.0,1.0,2.0,3.0,22.0
306,2.0,1.0,0.0,0.0,17.0
307,2.0,1.0,0.0,0.0,18.0
308,0.0,0.0,0.0,0.0,19.0
309,0.0,0.0,0.0,0.0,20.0
310,0.0,0.0,0.0,2.0,21.0
311,2.0,1.0,2.0,3.0,22.0
312,0.0,0.0,0.0,0.0,23.0
313,0.0,0.0,0.0,2.0,29.0
314,2.0,1.0,0.0,0.0,1.0
315,0.0,0.0,0.0,2.0,30.0
316,2.0,1.0,2.0,3.0,31.0
317,0.0,0.0,0.0,2.0,32.0
318,0.0,0.0,0.0,0.0,33.0
319,1.0,2.0,1.0,1.0,34.0
320,1.0,1.0,2.0,3.0,35.0
321,0.0,0.0,0.0,0.0,36.0
322,0.0,0.0,0.0,0.0,16.0
323,2.0,1.0,2.0,3.0,15.0
324,0.0,0.0,0.0,2.0,11.0
325,0.0,0.0,0.0,2.0,13.0
326,0.0,0.0,0.0,0.0,25.0
327,2.0,1.0,0.0,0.0,24.0
328,2.0,1.0,0.0,0.0,3.0
329,0.0,0.0,0.0,2.0,0.0
330,0.0,0.0,0.0,2.0,28.0
331,0.0,0.0,0.0,0.0,2.0
332,3.0,2.0,1.0,1.0,4.0
333,0.0,0.0,0.0,0.0,5.0
334,0.0,0.0,0.0,0.0,6.0
335,0.0,0.0,0.0,2.0,7.0
336,0.0,0.0,0.0,2.0,8.0
337,3.0,2.0,1.0,1.0,9.0
338,2.0,1.0,2.0,3.0,10.0
339,0.0,0.0,0.0,0.0,37.0
340,0.0,0.0,0.0,2.0,12.0
341,2.0,1.0,2.0,3.0,14.0
342,1.0,1.0,2.0,3.0,38.0
343,2.0,1.0,2.0,3.0,42.0
344,0.0,0.0,0.0,0.0,40.0
345,0.0,0.0,0.0,0.0,48.0
346,0.0,0.0,0.0,2.0,39.0
347,0.0,0.0,0.0,2.0,50.0
348,0.0,0.0,0.0,2.0,49.0
349,0.0,0.0,0.0,0.0,47.0
350,2.0,1.0,2.0,3.0,27.0
351,2.0,1.0,0.0,0.0,45.0
352,0.0,0.0,0.0,2.0,44.0
353,3.0,2.0,1.0,1.0,43.0
354,0.0,0.0,0.0,2.0,26.0
355,0.0,0.0,0.0,2.0,41.0
356,0.0,0.0,0.0,2.0,46.0
357,0.0,0.0,0.0,0.0,40.0
358,0.0,0.0,0.0,2.0,41.0
359,2.0,1.0,2.0,3.0,42.0
360,0.0,0.0,0.0,2.0,44.0
361,2.0,1.0,0.0,0.0,45.0
362,0.0,0.0,0.0,2.0,46.0
363,0.0,0.0,0.0,0.0,47.0
364,0.0,0.0,0.0,2.0,49.0
365,0.0,0.0,0.0,2.0,50.0
366,3.0,2.0,1.0,1.0,43.0
367,0.0,0.0,0.0,2.0,39.0
368,0.0,0.0,0.0,0.0,36.0
369,0.0,0.0,0.0,0.0,37.0
370,1.0,1.0,2.0,3.0,35.0
371,1.0,2.0,1.0,1.0,34.0
372,0.0,0.0,0.0,2.0,32.0
373,0.0,0.0,0.0,2.0,30.0
374,0.0,0.0,0.0,2.0,29.0
375,0.0,0.0,0.0,2.0,28.0
376,2.0,1.0,2.0,3.0,27.0
377,0.0,0.0,0.0,2.0,26.0
378,0.0,0.0,0.0,0.0,25.0
379,2.0,1.0,0.0,0.0,24.0
380,2.0,1.0,0.0,0.0,3.0
381,1.0,1.0,2.0,3.0,38.0
382,0.0,0.0,0.0,0.0,33.0
383,2.0,1.0,2.0,3.0,31.0
384,0.0,0.0,0.0,2.0,0.0
385,0.0,0.0,0.0,0.0,48.0
386,2.0,1.0,2.0,3.0,22.0
387,0.0,0.0,0.0,2.0,21.0
388,0.0,0.0,0.0,0.0,20.0
389,0.0,0.0,0.0,0.0,19.0
390,2.0,1.0,0.0,0.0,18.0
391,2.0,1.0,0.0,0.0,17.0
392,0.0,0.0,0.0,0.0,16.0
393,2.0,1.0,2.0,3.0,15.0
394,2.0,1.0,2.0,3.0,14.0
395,0.0,0.0,0.0,2.0,13.0
396,0.0,0.0,0.0,0.0,23.0
397,0.0,0.0,0.0,2.0,11.0
398,2.0,1.0,2.0,3.0,10.0
399,3.0,2.0,1.0,1.0,9.0
400,0.0,0.0,0.0,2.0,8.0
401,0.0,0.0,0.0,2.0,7.0
402,0.0,0.0,0.0,0.0,6.0
403,0.0,0.0,0.0,0.0,5.0
404,3.0,2.0,1.0,1.0,4.0
405,0.0,0.0,0.0,0.0,2.0
406,2.0,1.0,0.0,0.0,1.0
407,0.0,0.0,0.0,2.0,12.0
408,0.0,0.0,0.0,2.0,30.0
409,0.0,0.0,0.0,2.0,29.0
410,0.0,0.0,0.0,2.0,28.0
411,2.0,1.0,0.0,0.0,24.0
412,0.0,0.0,0.0,2.0,26.0
413,0.0,0.0,0.0,0.0,25.0
414,2.0,1.0,2.0,3.0,31.0
415,2.0,1.0,2.0,3.0,27.0
416,0.0,0.0,0.0,2.0,32.0
417,1.0,1.0,2.0,3.0,38.0
418,1.0,1.0,2.0,3.0,35.0
419,0.0,0.0,0.0,0.0,36.0
420,0.0,0.0,0.0,0.0,37.0
421,0.0,0.0,0.0,2.0,39.0
422,0.0,0.0,0.0,0.0,40.0
423,0.0,0.0,0.0,2.0,41.0
424,2.0,1.0,2.0,3.0,42.0
425,3.0,2.0,1.0,1.0,43.0
426,2.0,1.0,0.0,0.0,3.0
427,1.0,2.0,1.0,1.0,34.0
428,0.0,0.0,0.0,0.0,23.0
429,0.0,0.0,0.0,2.0,12.0
430,0.0,0.0,0.0,2.0,21.0
431,0.0,0.0,0.0,2.0,0.0
432,2.0,1.0,0.0,0.0,1.0
433,0.0,0.0,0.0,0.0,2.0
434,3.0,2.0,1.0,1.0,4.0
435,0.0,0.0,0.0,0.0,5.0
436,0.0,0.0,0.0,0.0,6.0
437,0.0,0.0,0.0,2.0,7.0
438,0.0,0.0,0.0,2.0,8.0
439,3.0,2.0,1.0,1.0,9.0
440,2.0,1.0,2.0,3.0,22.0
441,2.0,1.0,2.0,3.0,10.0
442,0.0,0.0,0.0,2.0,44.0
443,0.0,0.0,0.0,2.0,13.0
444,2.0,1.0,2.0,3.0,14.0
445,2.0,1.0,2.0,3.0,15.0
446,0.0,0.0,0.0,0.0,16.0
447,2.0,1.0,0.0,0.0,17.0
448,2.0,1.0,0.0,0.0,18.0
449,0.0,0.0,0.0,0.0,19.0
450,0.0,0.0,0.0,0.0,20.0
451,0.0,0.0,0.0,2.0,11.0
452,2.0,1.0,0.0,0.0,45.0
453,0.0,0.0,0.0,0.0,33.0
454,0.0,0.0,0.0,0.0,47.0
455,0.0,0.0,0.0,2.0,49.0
456,0.0,0.0,0.0,2.0,50.0
457,0.0,0.0,0.0,0.0,48.0
458,0.0,0.0,0.0,2.0,46.0
459,2.0,1.0,2.0,3.0,22.0
460,0.0,0.0,0.0,0.0,20.0
461,0.0,0.0,0.0,0.0,19.0
462,2.0,1.0,0.0,0.0,18.0
463,2.0,1.0,0.0,0.0,17.0
464,0.0,0.0,0.0,0.0,16.0
465,2.0,1.0,2.0,3.0,15.0
466,2.0,1.0,2.0,3.0,14.0
467,0.0,0.0,0.0,2.0,13.0
468,0.0,0.0,0.0,2.0,12.0
469,2.0,1.0,2.0,3.0,10.0
470,0.0,0.0,0.0,0.0,23.0
471,3.0,2.0,1.0,1.0,9.0
472,0.0,0.0,0.0,2.0,8.0
473,0.0,0.0,0.0,2.0,7.0
474,0.0,0.0,0.0,0.0,6.0
475,0.0,0.0,0.0,0.0,5.0
476,3.0,2.0,1.0,1.0,4.0
477,0.0,0.0,0.0,0.0,2.0
478,2.0,1.0,0.0,0.0,1.0
479,0.0,0.0,0.0,2.0,0.0
480,0.0,0.0,0.0,0.0,48.0
481,0.0,0.0,0.0,2.0,11.0
482,0.0,0.0,0.0,2.0,50.0
483,0.0,0.0,0.0,2.0,21.0
484,0.0,0.0,0.0,0.0,47.0
485,2.0,1.0,2.0,0.0,3.0
486,2.0,1.0,0.0,0.0,24.0
487,0.0,0.0,0.0,0.0,25.0
488,0.0,0.0,0.0,2.0,26.0
489,2.0,1.0,2.0,3.0,27.0
490,0.0,0.0,0.0,2.0,28.0
491,0.0,0.0,0.0,2.0,29.0
492,0.0,0.0,0.0,2.0,49.0
493,2.0,1.0,2.0,3.0,31.0
494,0.0,0.0,0.0,2.0,32.0
495,0.0,0.0,0.0,0.0,33.0
496,1.0,2.0,1.0,1.0,34.0
497,1.0,1.0,2.0,3.0,35.0
498,0.0,0.0,0.0,0.0,36.0
499,0.0,0.0,0.0,0.0,37.0
500,0.0,0.0,0.0,2.0,30.0
501,0.0,0.0,0.0,2.0,39.0
502,0.0,0.0,0.0,2.0,40.0
503,0.0,0.0,0.0,2.0,41.0
504,2.0,1.0,2.0,1.0,42.0
505,3.0,2.0,1.0,0.0,43.0
506,0.0,0.0,0.0,2.0,44.0
507,2.0,1.0,2.0,1.0,45.0
508,0.0,0.0,0.0,2.0,46.0
509,1.0,1.0,2.0,3.0,38.0
510,0.0,0.0,0.0,2.0,16.0
511,2.0,1.0,0.0,1.0,17.0
512,2.0,1.0,0.0,1.0,18.0
513,2.0,1.0,2.0,1.0,22.0
514,0.0,0.0,0.0,2.0,20.0
515,0.0,0.0,0.0,2.0,21.0
516,2.0,1.0,2.0,1.0,15.0
517,0.0,0.0,0.0,2.0,23.0
518,0.0,0.0,0.0,2.0,19.0
519,1.0,1.0,2.0,3.0,14.0
520,0.0,0.0,0.0,1.0,48.0
521,0.0,0.0,0.0,2.0,12.0
522,0.0,0.0,0.0,2.0,6.0
523,0.0,0.0,0.0,2.0,5.0
524,0.0,0.0,0.0,2.0,11.0
525,2.0,1.0,2.0,1.0,10.0
526,3.0,2.0,1.0,0.0,4.0
527,0.0,0.0,0.0,2.0,2.0
528,2.0,1.0,0.0,1.0,1.0
529,0.0,0.0,0.0,2.0,0.0
530,0.0,0.0,0.0,2.0,7.0
531,0.0,0.0,0.0,2.0,13.0
532,0.0,0.0,0.0,2.0,8.0
533,3.0,2.0,1.0,0.0,9.0
534,2.0,1.0,2.0,1.0,45.0
535,0.0,0.0,0.0,2.0,50.0
536,0.0,0.0,0.0,2.0,49.0
537,0.0,0.0,0.0,2.0,47.0
538,0.0,0.0,0.0,2.0,46.0
539,0.0,0.0,0.0,2.0,44.0
540,3.0,2.0,1.0,0.0,43.0
541,2.0,1.0,2.0,1.0,42.0
542,0.0,0.0,0.0,2.0,41.0
543,0.0,0.0,0.0,2.0,40.0
544,1.0,1.0,2.0,3.0,38.0
545,0.0,0.0,0.0,2.0,37.0
546,0.0,0.0,0.0,2.0,36.0
547,0.0,0.0,0.0,2.0,39.0
548,1.0,2.0,1.0,3.0,34.0
549,2.0,1.0,2.0,1.0,3.0
550,2.0,1.0,2.0,1.0,24.0
551,0.0,0.0,0.0,2.0,25.0
552,1.0,1.0,2.0,3.0,35.0
553,2.0,1.0,2.0,1.0,27.0
554,0.0,0.0,0.0,2.0,28.0
555,0.0,0.0,0.0,2.0,26.0
556,0.0,0.0,0.0,2.0,30.0
557,2.0,1.0,2.0,1.0,31.0
558,0.0,0.0,0.0,2.0,32.0
559,0.0,0.0,0.0,2.0,33.0
560,0.0,0.0,0.0,2.0,29.0
561,1.0,1.0,2.0,3.0,38.0
562,2.0,1.0,2.0,1.0,31.0
563,0.0,0.0,0.0,2.0,37.0
564,0.0,0.0,0.0,2.0,36.0
565,1.0,1.0,2.0,3.0,35.0
566,1.0,2.0,1.0,3.0,34.0
567,0.0,0.0,0.0,2.0,33.0
568,0.0,0.0,0.0,2.0,32.0
569,0.0,0.0,0.0,2.0,30.0
570,0.0,0.0,0.0,2.0,44.0
571,0.0,0.0,0.0,2.0,28.0
572,2.0,1.0,2.0,1.0,27.0
573,0.0,0.0,0.0,2.0,26.0
574,0.0,0.0,0.0,1.0,48.0
575,0.0,0.0,0.0,2.0,25.0
576,2.0,1.0,2.0,1.0,24.0
577,2.0,1.0,2.0,1.0,3.0
578,0.0,0.0,0.0,2.0,39.0
579,0.0,0.0,0.0,2.0,29.0
580,3.0,2.0,1.0,0.0,43.0
581,0.0,0.0,0.0,2.0,40.0
582,2.0,1.0,0.0,1.0,1.0
583,2.0,1.0,2.0,1.0,42.0
584,0.0,0.0,0.0,2.0,50.0
585,0.0,0.0,0.0,2.0,49.0
586,0.0,0.0,0.0,2.0,47.0
587,0.0,0.0,0.0,2.0,46.0
588,2.0,1.0,2.0,1.0,45.0
589,0.0,0.0,0.0,2.0,0.0
590,0.0,0.0,0.0,2.0,23.0
591,2.0,1.0,2.0,1.0,22.0
592,0.0,0.0,0.0,2.0,21.0
593,0.0,0.0,0.0,2.0,20.0
594,0.0,0.0,0.0,2.0,19.0
595,2.0,1.0,0.0,1.0,17.0
596,0.0,0.0,0.0,2.0,16.0
597,2.0,1.0,0.0,1.0,18.0
598,1.0,1.0,2.0,3.0,14.0
599,0.0,0.0,0.0,2.0,2.0
600,3.0,2.0,1.0,0.0,4.0
601,0.0,0.0,0.0,2.0,5.0
602,0.0,0.0,0.0,2.0,6.0
603,0.0,0.0,0.0,2.0,7.0
604,2.0,1.0,2.0,1.0,15.0
605,3.0,2.0,1.0,0.0,9.0
606,0.0,0.0,0.0,2.0,8.0
607,0.0,0.0,0.0,2.0,41.0
608,2.0,1.0,2.0,1.0,10.0
609,0.0,0.0,0.0,2.0,11.0
610,0.0,0.0,0.0,2.0,12.0
611,0.0,0.0,0.0,2.0,13.0
612,2.0,1.0,0.0,1.0,18.0
613,2.0,1.0,0.0,1.0,17.0
614,0.0,0.0,0.0,2.0,19.0
615,2.0,1.0,2.0,1.0,15.0
616,0.0,0.0,0.0,2.0,20.0
617,1.0,1.0,2.0,3.0,14.0
618,2.0,1.0,0.0,1.0,1.0
619,0.0,0.0,0.0,2.0,12.0
620,0.0,0.0,0.0,2.0,11.0
621,2.0,1.0,2.0,1.0,10.0
622,3.0,2.0,1.0,0.0,9.0
623,0.0,0.0,0.0,2.0,8.0
624,0.0,0.0,0.0,2.0,7.0
625,0.0,0.0,0.0,2.0,6.0
626,0.0,0.0,0.0,2.0,5.0
627,3.0,2.0,1.0,0.0,4.0
628,0.0,0.0,0.0,2.0,2.0
629,0.0,0.0,0.0,2.0,0.0
630,0.0,0.0,0.0,2.0,13.0
631,0.0,0.0,0.0,2.0,16.0
632,2.0,1.0,2.0,1.0,22.0
633,0.0,0.0,0.0,1.0,48.0
